object_id,title,period,type,material,description,dimensions,museum,location,detail_url,image_url,image_path,credit_line,accession_number,crawl_date,object id,period_dynasty,period_century
74-34/5 A,兰花腰带,公元17世纪-1633~1633-明,版画，明代（1368-1644）,木刻版画;纸上的油墨和颜色（从合订本中删除）,未知,总体：10 1/4 x 12英寸（26.04 x 30.48厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/25169/girdle-of-orchids?ctx=ca0fa24fc64f2458dd08cd6fc5d10f5668778af0&idx=316,https://art.nelson-atkins.org/internal/media/dispatcher/76763/full,images\nelson-atkins\316.jpg,劳伦斯·西克曼的礼物,74-34/5 A,2026/5/3,288,未知,未知
41-39/30 A,板球战斗竞技场,公元17世纪~公元20世纪-1644~1911-清,装饰艺术，清朝（1644-1911）,无釉陶器,未知,总体尺寸：1 3/4 x 6 1/4英寸（4.45 x 15.88厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/25198/cricket-fighting-arena?ctx=ca0fa24fc64f2458dd08cd6fc5d10f5668778af0&idx=317,https://art.nelson-atkins.org/internal/media/dispatcher/32714/full,images\nelson-atkins\317.jpg,范妮·波默罗伊·布朗的礼物,41-39/30 A,2026/5/3,289,清,未知
F88-41/47 D,图,公元19世纪-1818~1818-清,书，清朝（1644-1911）,木版插图和手工装订卷中的文本,未知,总体：9 9/16 x 6 1/4英寸（24.28 x 15.88厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/25264/figures?ctx=ca0fa24fc64f2458dd08cd6fc5d10f5668778af0&idx=318,,,劳伦斯・西克门遗赠 / 史克门遗赠,F88-41/47 D,2026/5/3,290,未知,未知
F75-47,幽谷中的云与松树,公元20世纪-1901~2000-清/现代,卷轴、绘画,悬挂卷轴;纸上的墨水和颜色,吴虎凡的分层绘画风格受到他收藏的中国历史画的影响。在铭文中，吴虎凡表达了对宋（960-1279）和元（1279-1368）早期画家的喜爱。高耸、狭窄的山地环境和简短、轻松的笔触，都是根据宋画家发明的原型绘制的。,图像：37 5/8 x 19 1/8英寸（95.57 x 48.58厘米）底座：85 7/8 x 20英寸（218.11 x 50.8厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/29147/the-clouds-and-pine-trees-in-the-secluded-valley?ctx=ca0fa24fc64f2458dd08cd6fc5d10f5668778af0&idx=319,https://art.nelson-atkins.org/internal/media/dispatcher/34678/full,images/nelson-atkins/F75-47.jpg,购买:通过四十周年基金收购,F75-47,2026/5/3,291,未知,20世纪
50-21,带有猖獗老虎图案的吊坠,公元前5世纪~公元前3世纪-500~201-周/秦/汉,装饰艺术，东周（公元前771-256年）,玉（软玉）,未知,总体：2 1/8英寸（5.4厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/31682/pendant-with-rampant-tiger-motif?ctx=ca0fa24fc64f2458dd08cd6fc5d10f5668778af0&idx=320,https://art.nelson-atkins.org/internal/media/dispatcher/32729/full,images/nelson-atkins/50-21.jpg,购买：威廉・罗克希尔・尼尔森信托,50-21,2026/5/3,292,元,3世纪
34-14/2,碗,公元17世纪~公元20世纪-1644~1911-清,清朝陶瓷（1644-1911）,瓷,未知,总体尺寸：4 3/4 x 2 1/4英寸（12.07 x 5.72厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/31755/bowl?ctx=ca0fa24fc64f2458dd08cd6fc5d10f5668778af0&idx=321,https://art.nelson-atkins.org/internal/media/dispatcher/49375/full,images\nelson-atkins\321.jpg,购买：威廉・罗克希尔・尼尔森信托,34-14/2,2026/5/3,293,清,未知
2000.2.3,鸟与梅,公元20世纪中-1934~1966-现代,绘画,纸上的墨水和颜色,未知,无镜框：27 1/8 x 17 5/8英寸（68.9 x 44.77厘米）镜框：30 3/4 x 21 1/4 x 1英寸（78.11 x 53.98 x 2.54厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/31971/birds-and-plum?ctx=ca0fa24fc64f2458dd08cd6fc5d10f5668778af0&idx=322,,,罗伯特 · L.布洛赫,2000.2.3,2026/5/3,294,未知,20世纪
2000.2.5,三只长臂猿,公元20世纪中-1934~1966-现代,绘画,纸上的墨水和颜色,未知,无镜框：27 1/8 x 17 5/8英寸（68.9 x 44.77厘米）镜框：30 3/4 x 21 1/4 x 1英寸（78.11 x 53.98 x 2.54厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/31973/three-gibbons?ctx=ca0fa24fc64f2458dd08cd6fc5d10f5668778af0&idx=323,,,罗伯特 · L.布洛赫,2000.2.5,2026/5/3,295,未知,20世纪
2000.3.2,鸟语花香,公元20世纪中-1934~1966-现代,绘画,纸上的墨水和颜色,未知,无镜框：13 1/2 x 17 1/2英寸（34.29 x 44.45厘米）镜框：17 1/4 x 21 1/4 x 1英寸（43.82 x 53.98 x 2.54厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/31975/birds-and-flowers?ctx=515e49c50a6c08b5ae8e20f479abd98b5900cb8b&idx=324,,,亨利·W·W·夫妇的礼物Bloch,2000.3.2,2026/5/3,296,未知,20世纪
32-186/1,音乐家敲鼓,公元4世纪~公元6世纪-386~534-晋/南北/北魏,陶瓷，北纬（公元386-534年）,带有多色痕迹的灰色粘土,未知,总体尺寸：11英寸（27.94厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/25584/musician-beating-a-drum?ctx=515e49c50a6c08b5ae8e20f479abd98b5900cb8b&idx=325,https://art.nelson-atkins.org/internal/media/dispatcher/126312/full,images\nelson-atkins\325.jpg,购买：威廉・罗克希尔・尼尔森信托,32-186/1,2026/5/3,297,元,未知
48-20,佛碑基地,公元6世纪-537~537-南北,雕塑，西魏（公元535-556年）,Grey limestone,未知,总体尺寸：11 x 28 x 37英寸（27.94 x 71.12 x 93.98厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/25585/buddhist-stele-base?ctx=515e49c50a6c08b5ae8e20f479abd98b5900cb8b&idx=326,,,购买：威廉・罗克希尔・尼尔森信托,48-20,2026/5/3,298,元,未知
F96-44/1,景观,公元20世纪-1969~1969-现代,卷轴、绘画,手卷；纸本水墨画,未知,总体尺寸：13 1/4 x 39 3/4英寸（33.58 x 100.97厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/25685/landscape?ctx=515e49c50a6c08b5ae8e20f479abd98b5900cb8b&idx=327,https://art.nelson-atkins.org/internal/media/dispatcher/34715/full,images\nelson-atkins\327.jpg,马克·威尔逊和伊丽莎白·威尔逊的礼物,F96-44/1,2026/5/3,299,未知,未知
F84-55/3,云雾缭绕的风景，河畔树木间,公元17世纪-1601~1700-明/清,绘画，明代（1368-1644）,专辑页;墨水和水彩画在纸上，带纸底座,未知,图像：10 15/16 x 9 5/8英寸（27.78 x 24.45厘米）底座：13 1/16 x 11 1/2英寸（33.18 x 29.21厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/25687/misty-landscape-dwelling-among-trees-beside-a-river?ctx=515e49c50a6c08b5ae8e20f479abd98b5900cb8b&idx=328,https://art.nelson-atkins.org/internal/media/dispatcher/34704/full,images\nelson-atkins\328.jpg,用家人和朋友为纪念托马斯·厄尔·普莱斯而捐赠的资金以及通过东方分离基金购买,F84-55/3,2026/5/3,300,未知,17世纪
62-50/1,栏杆花瓶,公元17世纪-1662~1662-清,陶瓷,瓷,未知,总体：29 1/2英寸（74.93厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/28543/baluster-vase?ctx=515e49c50a6c08b5ae8e20f479abd98b5900cb8b&idx=330,https://art.nelson-atkins.org/internal/media/dispatcher/113694/full,images\nelson-atkins\330.jpg,购买：威廉・罗克希尔・尼尔森信托,62-50/1,2026/5/3,301,未知,未知
35-164,无题,公元14世纪~公元17世纪-1368~1644-明,卷轴、绘画,手卷；纸本水墨画,未知,总体尺寸：9 1/2 x 54 1/4英寸（24.13 x 137.8厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/28875/untitled?ctx=515e49c50a6c08b5ae8e20f479abd98b5900cb8b&idx=331,,,购买：威廉・罗克希尔・尼尔森信托,35-164,2026/5/3,302,明,未知
31-135/32 E,玉兰花,公元14世纪~公元17世纪-1368~1644-明,绘画，明代（1368-1644）,专辑叶;纸上的墨水,未知,总体尺寸：23 1/4 x 12 3/4英寸（59.06 x 32.39厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/31718/magnolia-blossoms?ctx=515e49c50a6c08b5ae8e20f479abd98b5900cb8b&idx=333,,,购买：威廉・罗克希尔・尼尔森信托,31-135/32 E,2026/5/3,303,明,未知
74-34/14 F,三个柑橘的分支,公元17世纪-1633~1633-明,版画，明代（1368-1644）,木刻版画;纸上的油墨和颜色（从合订本中删除）,成熟的水果体现了果园的丰富性和丰富的文化。这些版画体现了中国家庭餐桌上经常发现的多汁水果。例如，莲花根和菱角--最受欢迎的时令食物--被用于制作特殊菜肴、汤或小吃。色彩缤纷的水果，在中国绘画中并不常见，但在TenBambooStudio中却比比皆是。这些图像是版画家们的努力，以增强对色彩和图案的渲染效果，这些图案并不是通过画笔绘制的。俄罗斯果皮上的凹凸图案是通过最后的版画重新绘制的，以揭示光明的背景。,总体：10 1/4 x 12英寸（26.04 x 30.48厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/31769/branch-of-three-tangerines?ctx=515e49c50a6c08b5ae8e20f479abd98b5900cb8b&idx=334,https://art.nelson-atkins.org/internal/media/dispatcher/33950/full,images\nelson-atkins\334.jpg,劳伦斯·西克曼的礼物,74-34/14 F,2026/5/3,304,未知,未知
2000.2.1,三只鸡,公元20世纪中-1934~1966-现代,绘画,纸上的墨水和颜色,未知,无框：27 1/8 × 17 5/8英寸（68.9 × 44.77厘米）有框：30 3/4 × 21 1/4英寸（78.11 × 53.98厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/31969/three-chickens?ctx=515e49c50a6c08b5ae8e20f479abd98b5900cb8b&idx=335,https://art.nelson-atkins.org/internal/media/dispatcher/79184/full,images/nelson-atkins/2000.2.1.jpg,罗伯特 · L.布洛赫,2000.2.1,2026/5/3,305,未知,20世纪
2000.2.2,两只鸡和竹子,公元20世纪中-1934~1966-现代,绘画,纸上的墨水和颜色,未知,无镜框：27 1/8 x 17 5/8英寸（68.9 x 44.77厘米）镜框：30 3/4 x 21 1/4 x 1英寸（78.11 x 53.98 x 2.54厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/31970/two-chickens-and-bamboo?ctx=1f33627031fab325eba49a5a864c25a82da41e3c&idx=336,,,罗伯特 · L.布洛赫,2000.2.2,2026/5/3,306,未知,20世纪
F96-44/2,尼赞四首诗,公元20世纪-1970~1970-现代,卷轴、书法,手卷；纸本水墨画,未知,总体尺寸：22 3/4 x 48英寸（57.79 x 121.92厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/25460/four-poems-by-ni-tsan?ctx=1f33627031fab325eba49a5a864c25a82da41e3c&idx=337,,,马克·威尔逊和伊丽莎白·威尔逊的礼物,F96-44/2,2026/5/3,307,未知,未知
74-34/13,水果,公元17世纪-1633~1633-明,书，明代（1368-1644）,纸上墨彩木刻印刷品合订卷,成熟的水果体现了果园的丰富性和丰富的文化。这些版画体现了中国家庭餐桌上经常发现的多汁水果。例如，莲花根和菱角--最受欢迎的时令食物--被用于制作特殊菜肴、汤或小吃。色彩缤纷的水果，在中国绘画中并不常见，但在TenBambooStudio中却比比皆是。这些图像是版画家们的努力，以增强对色彩和图案的渲染效果，这些图案并不是通过画笔绘制的。俄罗斯果皮上的凹凸图案是通过最后的版画重新绘制的，以揭示光明的背景。,总尺寸：1 3/4 × 6 × 10 1/4英寸（4.45 × 15.24 × 26.04厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/25611/fruit?ctx=1f33627031fab325eba49a5a864c25a82da41e3c&idx=338,https://art.nelson-atkins.org/internal/media/dispatcher/33944/full,images\nelson-atkins\338.jpg,劳伦斯·西克曼的礼物,74-34/13,2026/5/3,308,未知,未知
33-352,花瓶,公元14世纪~公元17世纪-1368~1644-明,明代陶瓷（1368-1644）,陶器,未知,总体尺寸：19 3/8 x 4 1/2英寸（49.21 x 11.43厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/25927/vase?ctx=1f33627031fab325eba49a5a864c25a82da41e3c&idx=339,https://art.nelson-atkins.org/internal/media/dispatcher/54128/full,images/nelson-atkins/33-352.jpg,购买：威廉・罗克希尔・尼尔森信托,33-352,2026/5/3,309,明,未知
1976/10/9,醉酒诗人李白被搀扶回家,公元16世纪-1501~1600-明,卷轴、绘画,挂卷轴;丝绸上的水墨和色彩,这幅画展现了精神诗人李白（701- 762 CE.）骑着驴子，一只标志着李的耻辱的工作动物。两个仆人载着醉酒的诗歌。李在逃亡的同时构成了许多创新时代。他伟大的文学成就和中心的生活方式启发了许多追随者。,图像：57 x 44 1/4英寸（144.78 x 112.4厘米）底座：66 3/4 x 52英寸（169.55 x 132.08厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/28619/the-drunken-poet-li-po-being-assisted-home?ctx=1f33627031fab325eba49a5a864c25a82da41e3c&idx=340,https://art.nelson-atkins.org/internal/media/dispatcher/55463/full,images\nelson-atkins\340.jpg,布朗森·特雷弗（Bronson Trevor）赠送的礼物，以纪念他的父亲约翰·B。特雷弗,1976/10/9,2026/5/3,310,未知,16世纪
46-89,螃蟹和海草,公元16世纪-1538~1538-明,卷轴、绘画,挂卷轴;纸上墨,中国人喜欢吃螃蟹，中秋节前后的市场上会出现螃蟹。这并不是画家喜欢画螃蟹的主要原因。螃蟹的中文单词“蟹”听起来和“和谐”这个词很相似。螃蟹的画是一种视觉上的双关语，表达了对和谐生活的愿望。,总体尺寸：35 1/2 x 13 3/4英寸（90.17 x 34.93厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/28951/crabs-and-seagrass?ctx=1f33627031fab325eba49a5a864c25a82da41e3c&idx=341,https://art.nelson-atkins.org/internal/media/dispatcher/30551/full,images/nelson-atkins/46-89.jpg,购买：威廉・罗克希尔・尼尔森信托,46-89,2026/5/3,311,未知,未知
F77-41/2,带有龙和几何图案的镜子（正面视图）,公元前5世纪~公元前3世纪-475~221-周/秦,青铜器，青铜器，青铜器（公元前480-221年）,青铜,未知,总体尺寸：3/8 x 7 1/4英寸（0.94 x 18.42厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/28971/mirror-with-dragon-and-geometric-patterns-frontal-view?ctx=1f33627031fab325eba49a5a864c25a82da41e3c&idx=342,https://art.nelson-atkins.org/internal/media/dispatcher/29057/full,images\nelson-atkins\342.jpg,米尔顿·麦格里维的礼物,F77-41/2,2026/5/3,312,春秋,未知
72-29/1,荷叶罐,公元10世纪-997~997-宋/辽,陶瓷，北宋（960-1127）,瓷,未知,总体尺寸：3 3/4 x 5 5/8英寸（9.53 x 14.29厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/29170/lobed-jar?ctx=1f33627031fab325eba49a5a864c25a82da41e3c&idx=345,https://art.nelson-atkins.org/internal/media/dispatcher/52844/full,images\nelson-atkins\345.jpg,购买：威廉・罗克希尔・尼尔森信托,72-29/1,2026/5/3,313,元,未知
74-34/25,长尾鸟,公元17世纪-1633~1633-明,版画，明代（1368-1644）,木刻版画;纸上的油墨和颜色（从合订本中删除）,这些版画，都是由手册的艺术家之一，凌云汉，展示了不同的技术和风格，包括油墨单色，精细和色彩;无骨的（没有轮廓的图案）。色彩和微妙的渐变被精确地印在皮革图像内部的微小空间中，叶子和花瓣。例如，白冠鸟山茶，在现在的场景中结合了精致的轮廓和骨骼技术。背面以浅灰蓝色显示，在不规则的轮廓中从亮到暗，留下白纸来代表绿叶树枝和花朵上堆积的白色雪。这些复杂和微妙的细节都是由良好的装饰所产生的@ carvedblockandadeptprint skill。,总体：10 1/4 x 12英寸（26.04 x 30.48厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/31760/longtailed-bird?ctx=1f33627031fab325eba49a5a864c25a82da41e3c&idx=346,https://art.nelson-atkins.org/internal/media/dispatcher/33958/full,images\nelson-atkins\346.jpg,劳伦斯·西克曼的礼物,74-34/25,2026/5/3,314,未知,未知
2000.7.A-D,龙形屋脊瓦,公元16世纪末~公元17世纪初-1568~1633-明,建筑元素、陶瓷,釉面石器,这座宫殿最初是在寺庙的屋顶上装饰的。面朝内，这条最大的龙出现在屋顶上。这条龙是一条琥珀色的小龙，胸部伸展着燃烧的珍珠（与龙有关的神秘图案）和从云中出现的微小动物形象。龙控制着风暴和水，并被认为是为了保护建筑物免受闪电和自然灾害。,总体而言：58 3/4英寸（149.23厘米）A（前件）：26 1/2 x 22英寸（67.31 x 55.88厘米）B（后片）：22 1/2 x 16英寸（57.15 x 40.64厘米）C（中间件）：16 1/2 x 26英寸（41.91 x 66.04厘米）D（顶部件）：17 3/4 x 39 1/2英寸（45.09 x 100.33厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/31942/dragonform-roof-ridge-tile?ctx=1f33627031fab325eba49a5a864c25a82da41e3c&idx=347,https://art.nelson-atkins.org/internal/media/dispatcher/31255/full,images/nelson-atkins/2000.7.A-D.jpg,购买:纪念劳伦斯·西克曼的亚洲艺术收购基金,2000.7.A-D,2026/5/3,315,未知,16世纪
2000.3.4,两只鸡和菊,公元20世纪中-1934~1966-现代,绘画,纸上的墨水和颜色,未知,无镜框：13 1/2 x 17 1/2英寸（34.29 x 44.45厘米）镜框：17 1/4 x 21 1/4 x 1英寸（43.82 x 53.98 x 2.54厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/31977/two-chickens-and-chrysanthemum?ctx=2e7c1d6e683d2ff710460e0d08b0fb7c12ec91c1&idx=349,,,亨利·W·W·夫妇的礼物Bloch,2000.3.4,2026/5/3,316,未知,20世纪
2000.3.6,两只鹅,公元20世纪中-1934~1966-现代,绘画,纸上的墨水和颜色,未知,无镜框：13 1/2 x 17 1/2英寸（34.29 x 44.45厘米）镜框：17 1/4 x 21 1/4 x 1英寸（43.82 x 53.98 x 2.54厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/31979/two-geese?ctx=2e7c1d6e683d2ff710460e0d08b0fb7c12ec91c1&idx=351,,,亨利·W·W·夫妇的礼物Bloch,2000.3.6,2026/5/3,317,未知,20世纪
2013.46.7,越透明越重要,公元21世纪-2006~2007-现代,绘画,挂卷轴;纸上墨,未知,图像：142 15/16 x 56 11/16英寸（363.06 x 143.99厘米）总体（安装）：83 1/2 x 207 1/2英寸（212.09 x 527.05厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/58345/the-more-transparent-the-weightier?ctx=2e7c1d6e683d2ff710460e0d08b0fb7c12ec91c1&idx=352,https://art.nelson-atkins.org/internal/media/dispatcher/61026/full,images/nelson-atkins/2013.46.7.jpg,艺术家的礼物,2013.46.7,2026/5/3,318,未知,未知
"2013.46.9 A,B",学者石4和底座,未知,雕塑,石檀香底座,未知,总体而言：14 15/16 x 10 5/8 x 6 11/16英寸（38 x 27 x 17厘米）A（石）：9 13/16 x 7 1/2 x 9 7/16英寸（25 x 19 x 24厘米）B（底部）：5 1/8 x 6 11/16 x 11英寸（13 x 17 x 28厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/58354/scholar-stone-4-and-base?ctx=2e7c1d6e683d2ff710460e0d08b0fb7c12ec91c1&idx=353,https://art.nelson-atkins.org/internal/media/dispatcher/48496/full,"images/nelson-atkins/2013.46.9 A,B.jpg",艺术家的礼物,"2013.46.9 A,B",2026/5/3,319,未知,未知
"2013.46.19.A,B",副对联,未知,木雕,纳木木,未知,A：7/8 1/2 x 11 1/4 x 1英寸（199.39 x 28.58 x 2.54厘米）B：77 3/4 x 11 1/2 x 7/8英寸（197.49 x 29.21 x 2.22厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/58508/pair-of-couplets?ctx=2e7c1d6e683d2ff710460e0d08b0fb7c12ec91c1&idx=354,https://art.nelson-atkins.org/internal/media/dispatcher/50908/full,"images/nelson-atkins/2013.46.19.A,B.jpg",艺术家的礼物,"2013.46.19.A,B",2026/5/3,320,未知,未知
2013.46.10,刷,公元20世纪-1901~2000-清/现代,Implement,山羊毛和牛角,未知,总体：2 x 1/2 1/2英寸（5.08 x 31.75厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/58659/brush?ctx=2e7c1d6e683d2ff710460e0d08b0fb7c12ec91c1&idx=355,https://art.nelson-atkins.org/internal/media/dispatcher/52410/full,images/nelson-atkins/2013.46.10.jpg,艺术家的礼物,2013.46.10,2026/5/3,321,未知,20世纪
2013.46.11,刷,未知,Implement,山羊毛和竹子,未知,总体尺寸：1 3/8 x 11 1/4英寸（3.49 x 28.58厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/58660/brush?ctx=2e7c1d6e683d2ff710460e0d08b0fb7c12ec91c1&idx=356,https://art.nelson-atkins.org/internal/media/dispatcher/52408/full,images/nelson-atkins/2013.46.11.jpg,艺术家的礼物,2013.46.11,2026/5/3,322,未知,未知
"2013.46.17.A,B",盒中端砚,未知,Implement,漆木箱中的端砚,未知,总体：1 1/2 x 6 x 6英寸（3.81 x 15.24 x 15.24厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/58654/duan-inkstone-in-box?ctx=2e7c1d6e683d2ff710460e0d08b0fb7c12ec91c1&idx=357,https://art.nelson-atkins.org/internal/media/dispatcher/52427/full,"images/nelson-atkins/2013.46.17.A,B.jpg",艺术家的礼物,"2013.46.17.A,B",2026/5/3,323,未知,未知
2013.46.18 A-F,印尼人,未知,Implement,漆木箱里的四支墨水棒,未知,总体：1 x 4 7/8 x 4 7/8英寸（2.54 x 12.38 x 12.38厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/58656/inksticks?ctx=2e7c1d6e683d2ff710460e0d08b0fb7c12ec91c1&idx=358,https://art.nelson-atkins.org/internal/media/dispatcher/52423/full,images/nelson-atkins/2013.46.18 A-F.jpg,艺术家的礼物,2013.46.18 A-F,2026/5/3,324,未知,未知
2008.18.23,明加里山口的老堡,公元19世纪-1865~1870-清,摄影,专辑印刷,未知,图像：9 1/8 x 11 3/8英寸（23.19 x 28.91厘米）底座：12 x 15 5/8英寸（30.48 x 39.7厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/54905/an-old-fort-in-the-mingary-pass?ctx=ad8d2a49ca27bbf2b6a84404212ebe9586d0950b&idx=361,https://art.nelson-atkins.org/internal/media/dispatcher/56955/full,images/nelson-atkins/2008.18.23.jpg,霍尔家族基金会的礼物,2008.18.23,2026/5/3,325,未知,未知
2013.46.5,书法：道之所为,公元21世纪-2012~2012-现代,书法,墨水在纸上,未知,图像：51 9/16 x 28 3/4英寸（131 x 73厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/58348/calligraphy-the-law-of-dao-is-its-being-what-it-is?ctx=ad8d2a49ca27bbf2b6a84404212ebe9586d0950b&idx=362,https://art.nelson-atkins.org/internal/media/dispatcher/61029/full,images/nelson-atkins/2013.46.5.jpg,艺术家的礼物,2013.46.5,2026/5/3,326,未知,未知
"2013.46.25.A,B",陶瓷容器中的朱红密封膏,未知,容器,陶瓷容器中的朱红密封膏,未知,总体：3 3/4 x 5 1/4英寸（9.53 x 13.34厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/58649/vermilion-seal-paste-in-ceramic-container?ctx=ad8d2a49ca27bbf2b6a84404212ebe9586d0950b&idx=363,https://art.nelson-atkins.org/internal/media/dispatcher/52437/full,"images/nelson-atkins/2013.46.25.A,B.jpg",艺术家的礼物,"2013.46.25.A,B",2026/5/3,327,未知,未知
2013.46.20,密封,未知,Implement,大理石,未知,总体：1 3/4 x 7/8 x 7/8英寸（4.45 x 2.22 x 2.22厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/58650/seal?ctx=ad8d2a49ca27bbf2b6a84404212ebe9586d0950b&idx=364,https://art.nelson-atkins.org/internal/media/dispatcher/52434/full,images/nelson-atkins/2013.46.20.jpg,艺术家的礼物,2013.46.20,2026/5/3,328,未知,未知
2019.12,家里的月亮更亮，第二名,公元20世纪-1993~1993-现代,绘画,水墨、水彩、手工宣纸,居住在香港的关立陈先生成为抽象绘画先驱之一。这部作品的标题《家的月是明亮的家》是著名的唐王朝诗人杜甫（712- 770年）的一部小说。在这里，满月照亮了远方的山峰。深色的色彩在山上映衬着月亮的影子。注意到山脉中的精美笔触。碧绿的蓝色延续了中国蓝绿色风景的传统，艺术家对现代抽象的兴趣通过他对几何形式的运用和色彩的泼溅来展现。,总体：10 x 27 38英寸（25.4 x 69.53厘米）框架：20 7/8 x 38 7/8 x 1 1/2英寸（53.02 x 98.74 x 3.81厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/71349/the-moon-is-brighter-at-home-no-2?ctx=ad8d2a49ca27bbf2b6a84404212ebe9586d0950b&idx=368,https://art.nelson-atkins.org/internal/media/dispatcher/116250/full,images/nelson-atkins/2019.12.jpg,纪念詹姆斯·M的礼物。Kemper,2019.12,2026/5/3,329,未知,未知
F93-18/9,与仆人一起沿着西溪散步,公元12世纪末~公元13世纪初-1168~1233-宋/金,绘画，南宋（1127-1279）,丝绸上的墨水或墨水和颜色,未知,图像：9 1/4 x 8 5/8英寸（23.5 x 21.91厘米）,纳尔逊-阿特金斯艺术博物馆,美国堪萨斯城,https://art.nelson-atkins.org/objects/2021/walking-along-the-west-brook-with-a-servant?ctx=ad8d2a49ca27bbf2b6a84404212ebe9586d0950b&idx=369,,,购买:通过亚洲艺术收购基金收购,F93-18/9,2026/5/3,330,未知,12世纪
